,net_name,train_type,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
229,alexnet,train_finetune_data,1,RVvRHGV,2,present,1.0,,,
230,alexnet,train_finetune_data,1,RVvRHGV,4,present,0.99,,,
231,alexnet,train_finetune_data,1,RVvRHGV,8,present,0.86,,,
232,alexnet,train_finetune_data,1,RVvRHGV,1,absent,1.0,,,
233,alexnet,train_finetune_data,1,RVvRHGV,2,absent,1.0,,,
234,alexnet,train_finetune_data,1,RVvRHGV,4,absent,1.0,,,
235,alexnet,train_finetune_data,1,RVvRHGV,8,absent,0.95,,,
236,alexnet,train_finetune_data,1,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
237,alexnet,train_finetune_data,1,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
238,alexnet,train_finetune_data,1,RVvRHGV,4,both,0.995,0.9949494949494949,0.009900990099009901,4.902431033730798
239,alexnet,train_finetune_data,1,RVvRHGV,8,both,0.905,0.945054945054945,0.12844036697247707,2.732481818387387
240,alexnet,train_finetune_data,2,RVvRHGV,1,present,1.0,,,
241,alexnet,train_finetune_data,2,RVvRHGV,2,present,1.0,,,
242,alexnet,train_finetune_data,2,RVvRHGV,4,present,0.97,,,
243,alexnet,train_finetune_data,2,RVvRHGV,8,present,0.92,,,
244,alexnet,train_finetune_data,2,RVvRHGV,1,absent,1.0,,,
245,alexnet,train_finetune_data,2,RVvRHGV,2,absent,1.0,,,
246,alexnet,train_finetune_data,2,RVvRHGV,4,absent,1.0,,,
247,alexnet,train_finetune_data,2,RVvRHGV,8,absent,0.97,,,
248,alexnet,train_finetune_data,2,RVvRHGV,1,both,1.0,0.995,0.005,5.151658607097801
249,alexnet,train_finetune_data,2,RVvRHGV,2,both,1.0,0.995,0.005,5.151658607097801
250,alexnet,train_finetune_data,2,RVvRHGV,4,both,0.985,0.9948453608247423,0.02912621359223301,4.459072779073604
251,alexnet,train_finetune_data,2,RVvRHGV,8,both,0.945,0.968421052631579,0.0761904761904762,3.2892502168718556
252,alexnet,train_finetune_data,3,RVvRHGV,1,present,1.0,,,
